,Date,Review_Score,Review_Text
184,"August 24, 2018",3,"liker appen, men savner noen funksjoner og ""forfall "" siden svært uoversiktelig.. liker at appen er ganske brukervennlig, enkel og håndtere. den er stortsett oversiktlig. eneste negative med ene siden "" forfall"" er at jeg ikke kan velge for hvilken måned. samt at neste måneds forfall viser i innvære...full review"
185,"July 12, 2018",4,det er bra. jeg se ingen problem akurat nå
186,"August 2, 2018",4,"didn't use it så much, but it works fine at the moment. hope it stays like 
that."
187,"July 30, 2018",5,"easy & convenient app for all bank matters and stop asking me for more 
reviews. 1 is enough!"
188,"August 2, 2018",5,"its easy to use and i am happy for using it with otp, i am feeling my whole 
world in one place no more worries about "" i left my kodebrike, i can't 
pay""."
189,"July 14, 2018",3,"banna skjit å komm sæ inn på, ellers funke bra"
190,"August 3, 2018",4,"god app, lett å bruke, men har av og til slitsomme problemer"
191,"August 10, 2018",5,veldig god og enkelt app. let a bruke og fungere veldig bra med otp-apen.
192,"August 23, 2018",5,veldig bra app som gjør det enkelt og sjekke kontoene og overføre penger😊
193,"August 28, 2018",5,deilig design og god funksjonalitet. en glede å bytte over fra dnb sin mobilbank.
194,"August 24, 2018",4,veldig bra appen. hjelper å holde oversikt og enkelt å bruke.
195,"August 9, 2018",5,veldig bra app og lett å bruke.
196,"August 26, 2018",3,"hi, is it possible to change the language of the app to english?"
197,"August 1, 2018",5,beste mobilbankappen på markedet!
198,"July 26, 2018",3,bare bra!!
199,"August 14, 2018",5,ganske stabilt app. alltid oppdatert.
200,"August 31, 2018",5,funker dritbra med otp
201,"August 4, 2018",5,jævla bra app 😀
202,"July 19, 2018",5,en kjempefin app
203,"July 20, 2018",4,super bra app
204,"July 23, 2018",5,takk for det
205,"August 2, 2018",5,the best banking app ever
206,"August 5, 2018",5,its great app easy to use
207,"August 24, 2018",5,fungerer greit
208,"August 1, 2018",5,very good! reliable. recommended.
209,"August 2, 2018",5,keep up the good work
210,"July 29, 2018",5,gucci
211,"August 25, 2018",5,it is very useful
212,"August 16, 2018",5,good app... easy 2 use...
213,"August 17, 2018",4,working as independent
214,"August 2, 2018",5,great app
215,"August 20, 2018",4,it good
216,"August 25, 2018",5,just good
217,"August 6, 2018",5,satisfied
218,"August 17, 2018",5,awesomeness
219,"August 20, 2018",5,good
220,"June 27, 2018",5,"veldig brukervennelig, innlogging med fingeravtrykk er et kjempepluss. 
sparebank1 leverer bra software om dagen!"
221,"June 25, 2018",5,"fungerer perfekt til mine formål som er betaling av regninger, styring av 
økonomi o.l."
222,"June 24, 2018",5,"fungerer bra med gode oversikter og enkle måter å gjøre unna hverdagsbruk 
på."
223,"June 26, 2018",4,"very user friendly app. maybe to introduce the transactions over the phone 
would provide 5 stars."
224,"June 21, 2018",4,solid app som gjør det du trenger når du trenger det.
225,"July 3, 2018",5,"brukervennlig. bruker enten kode eller fingeravtrykk. kunne vært en valuta 
kurs også."
226,"July 3, 2018",5,lett og brukervennlig
227,"June 28, 2018",5,super
228,"July 4, 2018",5,great app
229,"June 11, 2018",1,"mobil appen er hverken god eller dårlig, den gjør hva den skal. grunnen til 
at den bare får en stjerne fra min side, er at sb1 totalt har latt seg 
infisere. ser en på appen, som en tynn klient, gjør den hva den skal, men 
den rene webservere løsningen er blitt strippet for å ligne appen. mye god 
...full review"
230,"June 7, 2018",5,"lett å bruke med god oversikt over alt du trenger. betaler fakturaer, 
fikser lønn og alt over denne appen!"
231,"June 14, 2018",5,top notch. puts british banks to shame.
232,"June 18, 2018",4,"appen fungerer svært bra for dagligdags behov. den er ikke særlig 
eksepsjonell på noen måte, men det burde heller ikke en bank-app 
nødvendigvis være."
233,"June 15, 2018",5,"super bra app. enda som mangler er ocr gjenkjenning for å kunne betale 
faktorer automatiskt gjennom appen."
234,"June 9, 2018",5,"appen er lett å bruke og mann får oversikt på alt, til og med spare konten"
235,"June 8, 2018",5,"en solid og helmax app. gjør akkurat det den skal og er lettvint og 
intuitivt i tillegg :)"
236,"June 12, 2018",5,"jeg tror at den appen ble bedre etter siste oppdatering , men det kan bli 
bedre"
237,"June 18, 2018",5,"det er lett å bruke og det er fantastisk. jeg slipper å taste inn alle 
koder👍"
238,"June 6, 2018",1,"halve konto oversikten er reklame for andre bank tjenester, ikke 
eksisterende kontoer."
239,"June 14, 2018",4,lett å bruke og jeg er fornøyd med appen så langt.
240,"June 14, 2018",5,den beste nettbanken med god margin.
241,"June 19, 2018",3,god app men mye tekniske problemer at konto ikke vises etc etc
242,"June 13, 2018",4,"helt kurant, gjør det den skal"
243,"June 13, 2018",4,funker til det jeg bruker den til.
244,"June 14, 2018",5,helt bra og lett å bruke 👍
245,"September 10, 2018",5,takk for svar under! da fønker'e fjell igjen! (:
246,"June 7, 2018",5,god app. oversiktlig og brukervennlig.
247,"June 10, 2018",5,gjør min hverdag enklere
248,"June 7, 2018",5,god og oversiktlig app.
249,"June 7, 2018",5,bra app. tommelen opp
