,Date,Review_Score,Review_Text
72,"February 12, 2019",4,"simple interface and easy to use. the app was very cumbersome to use earlier where if you wanted to make any transaction you will be sent to the browser, diluting the whole purpose of the app. the new update has put the app on the level of other better banking apps (like ing in nl). easy sign up for...full review"
73,"January 24, 2019",1,"after logging in, i can not access my accounts, nor use any other of the functions. un-installing, re-installing does not solve the problem. the old app worked perfectly. the old saying ""don't fix something that's not broken"" comes to mind ..."
74,"February 5, 2019",1,"constant crashing out makes this updated app an utter disappointment, and largely unusable. the reduced function app for kids is even worse, because their phones don't have bankid it's virtually useless for them. bad apps, no contactless mobile payment, dated website means i'll be looking for a new ...full review"
75,"January 30, 2019",5,"fingerprint login doesn't work. in the previous version it was easy to see transactions this time you should pass 2 levels of login. also if you have more than one account it doesn't show up on the main page under accounts accordion. edit: after reinstalling, both fingerprint login and multiple acco...full review"
76,"January 22, 2019",1,"useless now. it was ok before, but now you can not even check your balance without your onetime code. if i wanted to do my banking i would use my pc. i used the app to check recent activity and balance. now that is not possible. please change it back."
77,"February 9, 2019",1,"i am using the app for a month, and at first it worked with the biometric log in but it's been a while and now it wants me to log in with bankid everytime i want to use the app. it is just annoying! fix it!"
78,"March 11, 2019",2,statment view jumps all over the place . trying to view recent transactions and every time i scroll (seemingly in either direction) it jumps further back in time. i'm going to have to log on to web app. surely this is a bug that needs attention?
79,"January 26, 2019",1,bad. what happen dnb? i loved the old version it was hassle free. i could check my balance easily. now on the new version i need to enter the codes and password everytime i want to check my balance. it is so annoying.
80,"January 28, 2019",2,"the most useful feature of the previous app, which was checking the bank balances without logging in, is gone. if i want to log into my bank i can do that just as easily through a browser."
81,"March 9, 2019",2,"too complicated methods to login. need a simple one for less paranoic users, eg. possibility to choose own pin and use it afterwards without bankid or other bothersom tools. fingerprint is useless in many scenarios thus belongs to complicated methods of login. make pin login possible. take a look at...full review"
82,"January 16, 2019",2,"the new update or version, it's not good. with the old version, we don't need to log in to see the balance. now need to put password or to carry the code generator just to see the balance. i don't know who thinks this."
83,"February 3, 2019",1,"where is the old app? i want it back. this new app is an downgrade, not an upgrade. poor interface and not user-friendly. still cant check balance without logging in. often denied entry, buffering a long time. old app was perfect."
84,"March 30, 2019",1,can't connect!!!!!! can't get trough verification with bankid/id mobil. serio?? useless!!!!!!!!!!!!!
85,"February 15, 2019",1,"the app was ok at best before the last update and that's being nice. it's now just a link to the mobile bank to your browser. so be smart, uninstall this app and just use your browser to go to the mobile web version"
86,"February 10, 2019",1,old app was better. here you need too use bank id for everything. you cant even check out your bank acount balance without bank id. and biometrics dosent work either. even if they work it takes way to long time to load.
87,"March 17, 2019",1,"first the issues with login after installation (see below,) then having to install google chrome just to get the app to work, then constant crashes and the inability to add accounts to the home screen. now told to uninstall and reinstall the app because i have updated android. ... nei, jeg bruker ik...full review"
88,"January 22, 2019",1,terrible!!! i don't like that you can't see your balance without connecting to your internet bank. i also missing currency changing opption so easy reachable as it was before. bacis i wanna say give me back old version of dnb app.
89,"January 18, 2019",1,previous app was faster and easy. the design of new all is not attractive and user freindly. i love the old app. it was simple and uncomplicated. new design is not attractive.
90,"January 27, 2019",1,"the old app was bad compared to sbanken-app. instead of creating an app on par with best in business, dnb has created a new app which is useless and not at all user friendly. the new version is even worse the the old one."
91,"March 10, 2019",3,"unlike the old one, the new app requires to log in to check account balance and is slower. however, the widget with the account balance info is a big improvement."
92,"April 1, 2019",1,"this app pushes the dnb puls play store app onto my home screen, that shouldn't be allowed dnb, your app obviously is very suspicious."
93,"February 3, 2019",1,"the app worked fine when it first updated to the new version. unfortunately since the latest update finger print login never works, making this a pretty useless app. fix the login errors, please."
94,"January 22, 2019",1,after the latest update (mid january 2019) i can't access the bank via mobile phone since it detects that the phone is rooted (which is not).  phone model/ sys version one plus one  a0001/ android 5.1.1
