,Date,Review_Score,Review_Text
183,"April 4, 2015",3,fikk melding om at appen ikke kan brukes etter 1.mai viss telefonen er rootet. så da blir det å slette den. trenger root for å ta skikkelig backup av telefonen.
184,"April 15, 2015",3,hver gang jeg trykker på meny knappen så vises menyen i et øyeblikk før den lukker seg selv.  samsung s3
185,"March 21, 2015",1,"krasjer med en gang, s3 4.3 jelly bean."
186,"April 8, 2015",2,bare crasher for meg
187,"April 27, 2015",1,krasjer med en gang.
188,"February 9, 2015",2,"henger på oppstart, får ikke brukt den..."
189,"February 3, 2015",1,"it used to work fine, till the last updates. now nothing works. always need to do a  force stop before using the app. very annoying. useless app."
190,"February 8, 2015",1,"android 4.4.2 på en samsung galaxy s4 active (gt-i9295). appen har fungert i perioder, men nå står den bare og laster hele tiden og gir meg ikke muligheten til å logge inn. helt ubrukelig. er mye raskere å bare finne en pc og logge på nettbanken via sms, kontra dette tullet her. amatørmessig kodet."
191,"February 5, 2015",1,appen har jo krasjet helt nå
192,"February 2, 2015",5,som det burde være
193,"February 7, 2015",3,får ofte feilmelding når den åpnes...
194,"February 9, 2015",3,bra
195,"January 22, 2015",5,enklere bli det ikke
196,"January 22, 2015",1,virker ikke i det helle tatt
197,"January 20, 2015",5,virker bra...nice jobb !!gs4+
198,"December 31, 2014",1,"fungerte bra før, men etter oppgradering så vil den ikke lenger starte opp. sony xperia compact, android 4.4.4"
199,"January 17, 2015",1,crashes all the time! uninstalled og reinstalled 5 times. works for a few days then crashes!
200,"December 16, 2014",5,ingenting negativt å komme med
201,"January 8, 2015",1,funker ikke på motox. lolipop 5.0
202,"December 29, 2014",5,fantastisk skjit
203,"September 15, 2014",2,"designet for å holde på kundens oppmerksomhet lengst mulig, ikke for å gjøre det som skal gjøres så kjapt og enkelt som mulig. at dette er et slags framskritt er bare fordi forrige versjon var virkelig elendig.  kutt egenreklamen og iukk helt ved utlogging! å bruke halve skjermbildet på rekiame for ...full review"
204,"September 11, 2014",5,perfekt! ingen tungvindt måte å logge inn i nettbanken på lengre! nå kan regningen bli betalt på vei inn fra postkassen og hives i søppelet før jeg kommer inn døren!
